raw_character,character_id,character_name,character_group
CARETAKER,21,CARETAKER,7
CATHERINE,22,CATHERINE,5
CATHERINE ,22,CATHERINE,5
CHEERING GIRL,23,CHEERING GIRL,7
CHET,24,CHET,7
CLERK,25,CLERK,7
COACH,26,COACH,8
COLE,27,COLE,1
COLLEEN,28,COLLEEN,7
COOPER,29,COOPER,1
COOPER ,29,COOPER,1
COOPER AS BOY,29,COOPER,1
COOPER TRUMAN,29,COOPER,1
COP,30,COP,1
CRAIG,31,CRAIG,7
DARYL LODWICK,32,DARYL LODWICK,7
DENISE,33,DENISE,1
DESK CLERK,34,DESK CLERK,7
DOC,35,DOC HAYWARD,6
DOC HAYWARD,35,DOC HAYWARD,6
HAYWARD,35,DOC HAYWARD,6
DONNA,36,DONNA,2
DONNA ,36,DONNA,2
DOUGIE,37,DOUGIE,6
DWAYNE,38,DWAYNE,7
EARLE,39,EARLE,4
EARLE ON SCREEN,39,EARLE,4
WINDOM,39,EARLE,4
ECKHARDT,40,ECKHARDT,5
EILEEN,41,EILEEN,7
EINER,42,EINER,7
EMERALD,43,EMERALD,7
EMILE,44,EMILE,7
ERNIE,45,ERNIE,7
EVELVN,46,EVELYN,7
EVELYN,46,EVELYN,7
FATHER CLARENCE,47,FATHER CLARENCE,7
GERARD,48,GERARD,3
GIRARD,48,GERARD,3
GIANT,49,GIANT,4
GREEGE,50,GREEGE,7
GWEN,51,GWEN,7
HANK,52,HANK,8
HARDY,53,HARDY,7
HAROLD,54,HAROLD,7
HAWK,55,HAWK,1
HAWKS,55,HAWK,1
HEBA,56,HEBA,7
HORSE,57,HORSE,4
HUSBAND,58,HUSBAND,7
JACOBY,59,JACOBY,6
JACQUES,60,JACQUES,3
JADE,61,JADE,7
JAMES,62,JAMES,2
JANEK,63,JANEK,6
JEAN,64,JEAN,3
JEFFREY,65,JEFFREY,7
JERRY,66,JERRY,3
JOHNNY,67,JOHNNY,7
JOHNNYS VOICE,67,JOHNNY,7
JOISE,68,JOSIE,5
JOSIE,68,JOSIE,5
JOSIE ,68,JOSIE,5
JOSIE        ,68,JOSIE,5
JONATHAN,69,JONATHAN,7
JONES,70,JONES,7
KILLER BOB,71,KILLER BOB,4
LANA,72,LANA,7
LAURA,73,LAURA,2
LAZARE,74,LAZARE,7
LELAND,75,LELAND,6
LELAND ,75,LELAND,6
PALMER,75,LELAND,6
LEO,76,LEO,3
LITTLE MAN,77,LITTLE MAN,4
LITTLEHORSE,78,LITTLEHORSE,7
LODWICK,79,LODWICK,7
LOG LADY,80,LOG LADY,4
LOOMER,81,LOOMER,7
LUCE,82,LUCY,1
LUCY,82,LUCY,1
LUCYS VOICE,82,LUCY,1
MADDY,83,MADELEINE,2
MADELEINE,83,MADELEINE,2
MALCOLM,84,MALCOLM,7
MALCOM,84,MALCOLM,7
MALE BOARD MEMBER,85,MALE BOARD MEMBER,7
MAN IN DRESS,86,MAN IN DRESS,7
MIBBLER,87,MIBBLER,7
MIKE,88,MIKE,2
MILFORD,89,MILFORD,7
MODEL,90,MODEL,7
MOONEY,91,MOONEY,7
MOUNTIE,92,MOUNTIE,7
NADINE,93,NADINE,8
NANCY,94,NANCY,7
NICKY,95,NICKY,6
NILES,96,NILES,7
NORM,97,NORMA,8
NORMA,97,NORMA,8
NURSE,98,NURSE,7
PETE,99,PETE,5
PETE ,99,PETE,5
PINKLE,100,PINKLE,7
RACINE,101,RACINE,7
READING GIRL,102,READING GIRL,7
REILLY,103,REILLY,7
RENAULT,104,RENAULT,3
REVEREND,105,REVEREND,7
SARAH,106,SARAH,6
SHELLY,107,SHELLY,2
SMITH,108,SMITH,7
SPARKY,109,SPARKY,7
STERNWOOD,110,STERNWOOD,7
STERNWOOD ,110,STERNWOOD,7
STRANGER,111,STRANGER,7
SWABBIE,112,SWABBIE,7
SWAIN,113,SWAIN,7
TIM,114,TIM,7
TOJAMURA,115,TOJAMURA,5
TOJOMURA,115,TOJAMURA,5
TOM,116,TOM,7
TREMAYNE,117,TREMAYNE,6
TREMOND,117,TREMAYNE,6
TREMYANE,117,TREMAYNE,6
TREYMAYNE,117,TREMAYNE,6
TRUDY,118,TRUDY,7
TRUMAN,119,TRUMAN,1
TRUMAN AND SHELLY,119,TRUMAN,1
TRUMAN COOPER,119,TRUMAN,1
VIVIAN,120,VIVIAN,7
WAITER,121,WAITER,7
WAITRESS,122,WAITRESS,7
WHEELER,123,WHEELER,7
WINGATE,124,WINGATE,7
ZIPPER,125,ZIPPER,7
KING,126,KING,7
MONTANA,126,MONTANA,7
TERRY,128,TERRY,7
